height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
7,18,126,2.571,0.27,0.825,1.31,34,104,26,P
11,8,88,0.727,0.602,1.0,5.89,53,88,9,P
83,314,26062,3.783,0.282,0.619,8.77,7353,16139,838,N
10,155,1550,15.5,0.326,0.642,2.8,506,995,181,P
13,83,1079,6.385,0.373,0.628,3.5,403,678,115,P
8,49,392,6.125,0.406,0.742,1.81,159,291,88,P
17,23,391,1.3530000000000002,0.419,0.8079999999999999,6.56,164,316,25,P
11,118,1298,10.727,0.45899999999999996,0.742,4.81,596,963,124,P
9,53,477,5.888999999999999,0.335,0.602,2.42,160,287,66,P
1,14,14,14.0,0.929,1.0,13.0,13,14,1,N
7,11,77,1.571,0.39,0.7659999999999999,1.76,30,59,17,P
6,6,36,1.0,0.528,0.917,3.17,19,33,6,P
8,16,128,2.0,0.43,0.8590000000000001,2.2,55,110,25,P
11,205,2255,18.636,0.371,0.7170000000000001,3.01,837,1616,278,P
1,94,94,94.0,0.564,1.0,3.31,53,94,16,N
14,269,3766,19.214000000000002,0.337,0.625,4.61,1271,2353,276,P
8,25,200,3.125,0.3,0.59,2.22,60,118,27,P
9,35,315,3.889,0.397,0.8320000000000001,1.92,125,262,65,P
8,35,280,4.375,0.418,0.929,2.39,117,260,49,P
8,36,288,4.5,0.42700000000000005,1.0,2.05,123,288,60,P
1,60,60,60.0,0.2,1.0,1.09,12,60,11,P
8,17,136,2.125,0.353,0.8009999999999999,2.0,48,109,24,P
8,50,400,6.25,0.253,0.8,2.3,101,320,44,P
5,3,15,0.6,0.6,0.6,9.0,9,9,1,P
11,32,352,2.909,0.335,0.9940000000000001,2.27,118,350,52,P
1,13,13,13.0,0.769,1.0,5.0,10,13,2,P
4,99,396,24.75,0.503,0.9420000000000001,2.4,199,373,83,P
9,36,324,4.0,0.552,0.9259999999999999,3.51,179,300,51,P
9,182,1638,20.222,0.37799999999999995,0.789,2.95,619,1292,210,P
17,60,1020,3.529,0.139,0.371,7.1,142,378,20,N
5,2,10,0.4,0.7,0.7,7.0,7,7,1,P
7,1,7,0.14300000000000002,1.0,1.0,7.0,7,7,1,N
9,29,261,3.222,0.414,0.966,2.4,108,252,45,P
9,83,747,9.222000000000001,0.292,0.909,2.42,218,679,90,P
5,39,195,7.8,0.33799999999999997,0.882,1.74,66,172,38,P
8,13,104,1.625,0.413,1.0,1.95,43,104,22,P
8,55,440,6.875,0.225,0.645,1.77,99,284,56,P
7,21,147,3.0,0.33299999999999996,0.789,1.4,49,116,35,P
9,84,756,9.333,0.40700000000000003,0.878,2.75,308,664,112,P
8,121,968,15.125,0.431,0.98,3.11,417,949,134,P
8,126,1008,15.75,0.469,0.961,2.87,473,969,165,P
8,21,168,2.625,0.41100000000000003,0.7859999999999999,2.23,69,132,31,P
9,82,738,9.111,0.379,0.879,2.35,280,649,119,P
8,3,24,0.375,0.45799999999999996,0.708,2.75,11,17,4,P
9,82,738,9.111,0.374,0.866,2.3,276,639,120,P
1,115,115,115.0,0.2,1.0,4.6,23,115,5,N
8,79,632,9.875,0.316,0.975,1.8,200,616,111,P
8,27,216,3.375,0.20800000000000002,0.852,1.45,45,184,31,P
7,31,217,4.428999999999999,0.382,0.8109999999999999,1.84,83,176,45,P
13,213,2769,16.385,0.359,0.6579999999999999,4.65,995,1821,214,P
9,59,531,6.556,0.49200000000000005,0.861,3.22,261,457,81,P
10,4,40,0.4,0.35,0.9,1.75,14,36,8,P
16,24,384,1.5,0.41100000000000003,0.872,4.51,158,335,35,P
5,95,475,19.0,0.255,0.787,1.73,121,374,70,P
9,20,180,2.222,0.361,0.7,2.32,65,126,28,P
1,29,29,29.0,0.9309999999999999,1.0,13.5,27,29,2,N
5,8,40,1.6,0.35,0.975,1.0,14,39,14,P
13,80,1040,6.154,0.434,0.536,5.57,451,557,81,P
19,201,3819,10.579,0.23800000000000002,0.5670000000000001,2.07,909,2164,439,P
7,35,245,5.0,0.302,0.9390000000000001,1.48,74,230,50,P
11,112,1232,10.182,0.217,0.469,1.73,267,578,154,P
7,86,602,12.286,0.244,0.831,1.27,147,500,116,P
2,101,202,50.5,0.54,0.743,10.9,109,150,10,N
10,17,170,1.7,0.5710000000000001,0.9179999999999999,6.47,97,156,15,P
9,492,4428,54.667,0.132,0.541,1.22,583,2397,476,P
8,63,504,7.875,0.321,0.9540000000000001,1.82,162,481,89,P
10,52,520,5.2,0.306,0.688,1.96,159,358,81,P
5,36,180,7.2,0.21100000000000002,0.789,1.52,38,142,25,P
6,7,42,1.167,0.7140000000000001,0.857,30.0,30,36,1,P
7,30,210,4.2860000000000005,0.305,0.871,1.64,64,183,39,P
5,18,90,3.6,0.6890000000000001,1.0,3.44,62,90,18,P
10,19,190,1.9,0.563,0.8370000000000001,8.23,107,159,13,P
16,424,6784,26.5,0.371,0.563,5.34,2514,3820,471,P
9,56,504,6.222,0.34299999999999997,0.706,1.97,173,356,88,P
7,21,147,3.0,0.327,0.728,1.41,48,107,34,P
12,117,1404,9.75,0.22,0.6729999999999999,1.68,309,945,184,P
10,130,1300,13.0,0.45299999999999996,0.8220000000000001,2.78,589,1069,212,P
10,272,2720,27.2,0.27899999999999997,0.789,1.98,758,2147,382,P
6,57,342,9.5,0.45299999999999996,0.9059999999999999,2.46,155,310,63,P
23,249,5727,10.825999999999999,0.77,0.958,16.33,4409,5488,270,P
7,5,35,0.7140000000000001,0.371,0.8290000000000001,1.86,13,29,7,P
6,103,618,17.167,0.248,0.909,1.23,153,562,124,P
7,4,28,0.5710000000000001,0.5,1.0,2.33,14,28,6,P
10,271,2710,27.1,0.19699999999999998,0.748,1.38,533,2027,386,P
5,4,20,0.8,0.45,0.8,3.0,9,16,3,P
14,359,5026,25.643,0.368,0.615,4.56,1848,3093,405,P
10,62,620,6.2,0.265,0.6559999999999999,2.19,164,407,75,P
10,43,430,4.3,0.256,0.7070000000000001,1.8,110,304,61,P
31,71,2201,2.29,0.159,0.29600000000000004,10.29,350,651,34,N
10,78,780,7.8,0.381,0.856,2.52,297,668,118,P
6,58,348,9.667,0.276,0.7440000000000001,1.17,96,259,82,P
9,49,441,5.444,0.58,0.995,2.98,256,439,86,P
8,23,184,2.875,0.337,0.7829999999999999,1.94,62,144,32,P
5,13,65,2.6,0.24600000000000002,0.831,1.33,16,54,12,P
3,3,9,1.0,0.889,0.889,8.0,8,8,1,P
2,20,40,10.0,0.725,0.875,29.0,29,35,1,N
7,10,70,1.429,0.28600000000000003,0.8290000000000001,1.33,20,58,15,P
8,48,384,6.0,0.221,0.557,1.37,85,214,62,P
9,185,1665,20.555999999999997,0.39799999999999996,0.7829999999999999,2.79,663,1303,238,P
5,7,35,1.4,0.4,0.943,1.75,14,33,8,P
7,16,112,2.286,0.304,0.696,1.36,34,78,25,P
9,82,738,9.111,0.32899999999999996,0.871,2.11,243,643,115,P
9,20,180,2.222,0.3,0.972,1.74,54,175,31,P
7,65,455,9.286,0.316,0.848,1.52,144,386,95,P
8,16,128,2.0,0.359,0.7809999999999999,2.0,46,100,23,P
7,20,140,2.8569999999999998,0.46399999999999997,0.9,2.71,65,126,24,P
9,130,1170,14.444,0.513,0.925,2.86,600,1082,210,P
8,17,136,2.125,0.419,0.956,2.11,57,130,27,P
9,17,153,1.889,0.183,0.529,1.75,28,81,16,P
7,20,140,2.8569999999999998,0.307,0.85,1.48,43,119,29,P
10,16,160,1.6,0.619,0.963,6.19,99,154,16,P
1,279,279,279.0,0.9640000000000001,1.0,38.43,269,279,7,N
14,253,3542,18.070999999999998,0.37200000000000005,0.826,4.36,1317,2924,302,P
7,34,238,4.857,0.298,0.937,1.31,71,223,54,P
13,390,5070,30.0,0.182,0.735,1.56,924,3727,593,P
14,17,238,1.214,0.113,0.387,1.8,27,92,15,N
13,407,5291,31.308000000000003,0.266,0.649,2.31,1406,3435,609,P
8,37,296,4.625,0.264,0.6759999999999999,1.86,78,200,42,P
7,219,1533,31.285999999999998,0.195,0.617,1.44,299,946,207,P
7,72,504,10.286,0.23600000000000002,0.6509999999999999,1.7,119,328,70,P
10,30,300,3.0,0.36700000000000005,0.7829999999999999,2.29,110,235,48,P
9,264,2376,29.333000000000002,0.261,0.612,1.99,619,1455,311,P
7,80,560,11.429,0.102,0.46799999999999997,1.39,57,262,41,P
8,13,104,1.625,0.452,0.971,1.96,47,101,24,P
10,155,1550,15.5,0.275,0.8029999999999999,1.85,427,1244,231,P
8,233,1864,29.125,0.262,0.838,1.58,488,1562,309,P
10,154,1540,15.4,0.315,0.639,2.53,485,984,192,P
1,17,17,17.0,0.882,1.0,7.5,15,17,2,N
8,4,32,0.5,0.406,0.7809999999999999,2.17,13,25,6,P
43,62,2666,1.442,0.08,0.17,6.63,212,454,32,N
8,33,264,4.125,0.35600000000000004,0.705,2.0,94,186,47,P
4,6,24,1.5,0.33299999999999996,0.792,2.0,8,19,4,P
9,9,81,1.0,0.34600000000000003,0.877,2.8,28,71,10,P
6,50,300,8.333,0.327,0.777,2.0,98,233,49,P
8,28,224,3.5,0.442,0.795,2.48,99,178,40,P
10,26,260,2.6,0.29600000000000004,0.9420000000000001,2.2,77,245,35,P
9,120,1080,13.333,0.331,0.8590000000000001,1.98,358,928,181,P
10,330,3300,33.0,0.207,0.6709999999999999,1.61,684,2215,425,P
10,80,800,8.0,0.275,0.435,3.93,220,348,56,P
9,12,108,1.3330000000000002,0.37,1.0,2.0,40,108,20,P
7,20,140,2.8569999999999998,0.364,0.871,1.46,51,122,35,P
9,36,324,4.0,0.556,0.9229999999999999,3.21,180,299,56,P
10,13,130,1.3,0.315,0.915,2.41,41,119,17,P
3,544,1632,181.33,0.326,0.406,16.12,532,662,33,N
17,22,374,1.294,0.425,0.765,4.68,159,286,34,P
9,124,1116,13.777999999999999,0.36700000000000005,0.705,2.85,410,787,144,P
12,105,1260,8.75,0.37,0.7170000000000001,2.91,466,903,160,P
13,38,494,2.923,0.332,0.935,4.0,164,462,41,P
7,128,896,18.285999999999998,0.203,0.6629999999999999,1.33,182,594,137,P
10,271,2710,27.1,0.19899999999999998,0.7170000000000001,1.42,540,1942,381,P
7,6,42,0.857,0.47600000000000003,0.8809999999999999,1.82,20,37,11,P
7,21,147,3.0,0.34,0.85,1.35,50,125,37,P
5,8,40,1.6,0.35,0.675,4.67,14,27,3,P
8,34,272,4.25,0.419,0.7829999999999999,2.0,114,213,57,P
8,27,216,3.375,0.34299999999999997,0.778,1.76,74,168,42,P
8,15,120,1.875,0.317,0.742,2.0,38,89,19,P
1,65,65,65.0,0.6459999999999999,1.0,3.0,42,65,14,N
8,22,176,2.75,0.40299999999999997,1.0,2.03,71,176,35,P
12,272,3264,22.666999999999998,0.249,0.602,2.01,812,1965,404,P
5,96,480,19.2,0.40399999999999997,0.8170000000000001,2.77,194,392,70,P
8,1,8,0.125,1.0,1.0,8.0,8,8,1,N
8,28,224,3.5,0.46,0.79,2.58,103,177,40,P
25,187,4675,7.48,0.47200000000000003,0.943,7.28,2207,4408,303,P
1,161,161,161.0,0.41,1.0,1.02,66,161,65,N
7,74,518,10.571,0.276,0.6829999999999999,1.57,143,354,91,P
9,180,1620,20.0,0.34299999999999997,0.738,2.47,555,1196,225,P
3,11,33,3.667,0.364,0.667,3.0,12,22,4,N
7,169,1183,24.143,0.16699999999999998,0.785,1.28,197,929,154,P
5,10,50,2.0,0.36,1.0,1.29,18,50,14,P
8,84,672,10.5,0.36,0.9540000000000001,1.94,242,641,125,P
9,49,441,5.444,0.594,0.998,3.05,262,440,86,P
10,98,980,9.8,0.391,0.835,2.41,383,818,159,P
10,31,310,3.1,0.33899999999999997,0.713,2.14,105,221,49,P
7,14,98,2.0,0.29600000000000004,0.898,1.61,29,88,18,P
8,15,120,1.875,0.517,0.867,2.48,62,104,25,P
7,11,77,1.571,0.40299999999999997,0.961,1.55,31,74,20,P
6,189,1134,31.5,0.324,0.83,1.62,367,941,227,P
9,54,486,6.0,0.391,0.8170000000000001,1.98,190,397,96,P
6,96,576,16.0,0.309,0.644,2.44,178,371,73,P
5,32,160,6.4,0.431,0.988,1.47,69,158,47,P
5,94,470,18.8,0.183,0.7979999999999999,1.62,86,375,53,P
1,14,14,14.0,0.5710000000000001,1.0,2.0,8,14,4,N
7,70,490,10.0,0.371,0.971,1.9,182,476,96,P
9,50,450,5.556,0.496,0.958,2.69,223,431,83,P
6,39,234,6.5,0.226,0.705,1.66,53,165,32,P
8,27,216,3.375,0.435,0.963,2.14,94,208,44,P
8,342,2736,42.75,0.163,0.622,1.4,445,1702,317,P
7,54,378,7.7139999999999995,0.254,0.608,1.39,96,230,69,P
17,403,6851,23.706,0.349,0.521,5.43,2388,3568,440,P
9,306,2754,34.0,0.192,0.7509999999999999,1.4,530,2069,378,P
12,7,84,0.583,0.214,0.583,3.6,18,49,5,P
9,508,4572,56.443999999999996,0.16,0.52,1.3,732,2379,563,P
9,26,234,2.889,0.175,0.517,1.37,41,121,30,P
2,279,558,139.5,0.075,0.545,1.05,42,304,40,P
7,21,147,3.0,0.32,0.7140000000000001,1.68,47,105,28,P
8,59,472,7.375,0.46399999999999997,0.985,2.74,219,465,80,P
8,44,352,5.5,0.426,0.938,3.26,150,330,46,P
8,39,312,4.875,0.205,0.7120000000000001,1.36,64,222,47,P
10,249,2490,24.9,0.294,0.636,2.32,731,1584,315,P
9,23,207,2.556,0.3,1.0,1.51,62,207,41,P
11,98,1078,8.908999999999999,0.317,0.643,2.8,342,693,122,P
8,30,240,3.75,0.342,0.8959999999999999,2.0,82,215,41,P
304,463,140752,1.5230000000000001,0.063,0.121,3.91,8898,17081,2273,N
9,126,1134,14.0,0.466,0.907,2.84,528,1029,186,P
5,13,65,2.6,0.5539999999999999,0.8,2.57,36,52,14,P
8,99,792,12.375,0.19899999999999998,0.662,1.39,158,524,114,P
13,291,3783,22.385,0.285,0.627,2.68,1080,2371,403,P
8,31,248,3.875,0.42700000000000005,0.992,2.16,106,246,49,P
7,18,126,2.571,0.397,0.9840000000000001,1.79,50,124,28,P
6,28,168,4.667,0.14300000000000002,0.53,1.71,24,89,14,P
10,20,200,2.0,0.54,0.78,9.0,108,156,12,P
7,14,98,2.0,0.5,1.0,2.72,49,98,18,P
10,219,2190,21.9,0.153,0.601,1.24,334,1317,270,P
8,30,240,3.75,0.38299999999999995,0.983,1.88,92,236,49,P
22,20,440,0.909,0.28,0.57,5.35,123,251,23,P
9,56,504,6.222,0.33899999999999997,0.9309999999999999,2.22,171,469,77,P
6,28,168,4.667,0.327,0.589,2.12,55,99,26,P
11,271,2981,24.636,0.17600000000000002,0.6709999999999999,1.39,525,2001,378,P
6,21,126,3.5,0.23800000000000002,0.738,1.58,30,93,19,P
16,391,6256,24.438000000000002,0.401,0.674,5.26,2508,4219,477,P
11,12,132,1.091,0.43200000000000005,0.674,4.38,57,89,13,P
7,61,427,8.714,0.321,0.667,1.9,137,285,72,P
7,31,217,4.428999999999999,0.336,0.8340000000000001,1.52,73,181,48,P
9,105,945,11.667,0.33399999999999996,0.8690000000000001,2.19,316,821,144,P
9,41,369,4.556,0.374,0.846,2.06,138,312,67,P
10,63,630,6.3,0.294,0.895,2.2,185,564,84,P
11,213,2343,19.364,0.264,0.698,1.95,619,1635,317,P
8,18,144,2.25,0.424,0.889,2.03,61,128,30,P
10,18,180,1.8,0.539,0.8109999999999999,8.82,97,146,11,P
8,38,304,4.75,0.461,0.8029999999999999,2.3,140,244,61,P
11,82,902,7.455,0.23600000000000002,0.8140000000000001,1.97,213,734,108,P
8,24,192,3.0,0.26,0.672,1.85,50,129,27,P
16,1,16,0.063,1.0,1.0,16.0,16,16,1,N
6,96,576,16.0,0.318,0.575,3.0,183,331,61,P
12,98,1176,8.167,0.267,0.627,2.33,314,737,135,P
53,1,53,0.019,1.0,1.0,53.0,53,53,1,N
9,166,1494,18.444000000000003,0.27399999999999997,0.606,1.88,409,905,217,P
9,12,108,1.3330000000000002,0.38,1.0,1.46,41,108,28,P
9,86,774,9.556000000000001,0.301,0.647,2.22,233,501,105,P
7,86,602,12.286,0.294,0.701,1.69,177,422,105,P
1,50,50,50.0,0.2,1.0,1.11,10,50,9,P
6,10,60,1.6669999999999998,0.317,0.85,1.19,19,51,16,P
10,12,120,1.2,0.55,0.875,4.71,66,105,14,P
158,167,26386,1.057,0.16,0.276,8.24,4213,7279,511,N
11,207,2277,18.817999999999998,0.268,0.723,1.84,610,1647,332,P
16,205,3280,12.812999999999999,0.401,0.799,5.36,1314,2622,245,P
8,45,360,5.625,0.36700000000000005,0.897,2.44,132,323,54,P
9,86,774,9.556000000000001,0.39399999999999996,0.705,2.85,305,546,107,P
8,162,1296,20.25,0.204,0.41200000000000003,3.12,265,534,85,P
12,62,744,5.167000000000001,0.23399999999999999,0.66,1.58,174,491,110,P
7,343,2401,49.0,0.213,0.772,1.45,512,1854,352,P
8,18,144,2.25,0.47200000000000003,1.0,2.52,68,144,27,P
9,69,621,7.667000000000001,0.209,0.8079999999999999,1.38,130,502,94,P
3,8,24,2.667,0.33299999999999996,0.875,1.33,8,21,6,P
9,194,1746,21.555999999999997,0.191,0.691,1.4,333,1207,238,P
11,8,88,0.727,0.545,1.0,3.2,48,88,15,P
8,6,48,0.75,0.396,0.813,1.58,19,39,12,P
9,510,4590,56.667,0.14800000000000002,0.537,1.33,681,2465,513,P
9,453,4077,50.333,0.08,0.363,1.21,326,1478,269,P
2,47,94,23.5,0.17,0.511,1.14,16,48,14,P
8,21,168,2.625,0.35700000000000004,0.9640000000000001,2.07,60,162,29,P
7,16,112,2.286,0.33899999999999997,1.0,1.41,38,112,27,P
1,263,263,263.0,0.152,1.0,1.03,40,263,39,P
8,17,136,2.125,0.46299999999999997,0.735,2.86,63,100,22,P
8,32,256,4.0,0.375,0.98,2.09,96,251,46,P
1,63,63,63.0,0.5870000000000001,1.0,2.31,37,63,16,N
2,48,96,24.0,0.625,0.677,30.0,60,65,2,N
9,165,1485,18.333,0.337,0.713,2.54,501,1059,197,P
8,78,624,9.75,0.244,0.745,1.35,152,465,113,P
5,8,40,1.6,0.425,1.0,1.89,17,40,9,P
12,216,2592,18.0,0.507,0.764,5.3,1315,1981,248,P
9,102,918,11.333,0.193,0.768,1.29,177,705,137,P
7,20,140,2.8569999999999998,0.457,0.857,2.46,64,120,26,P
8,62,496,7.75,0.363,0.925,2.12,180,459,85,P
7,31,217,4.428999999999999,0.318,0.8390000000000001,1.35,69,182,51,P
9,86,774,9.556000000000001,0.337,0.757,2.19,261,586,119,P
15,356,5340,23.733,0.406,0.626,5.29,2167,3342,410,P
7,41,287,5.857,0.209,0.652,1.36,60,187,44,P
16,359,5744,22.438000000000002,0.376,0.652,5.41,2158,3747,399,P
20,19,380,0.95,0.495,0.713,12.53,188,271,15,P
10,98,980,9.8,0.3,0.7809999999999999,1.72,294,765,171,P
1,9,9,9.0,1.0,1.0,9.0,9,9,1,N
12,271,3252,22.583000000000002,0.259,0.6890000000000001,1.99,843,2241,423,P
12,67,804,5.582999999999999,0.376,0.7509999999999999,2.99,302,604,101,P
9,49,441,5.444,0.231,0.685,1.46,102,302,70,P
16,30,480,1.875,0.133,0.47100000000000003,2.29,64,226,28,N
7,171,1197,24.429000000000002,0.16,0.605,1.25,192,724,154,P
8,346,2768,43.25,0.14400000000000002,0.581,1.31,398,1607,304,P
8,215,1720,26.875,0.40399999999999997,0.789,2.91,695,1357,239,P
7,64,448,9.142999999999999,0.498,0.9109999999999999,2.93,223,408,76,P
8,18,144,2.25,0.47200000000000003,1.0,2.52,68,144,27,P
8,16,128,2.0,0.47700000000000004,0.9059999999999999,2.44,61,116,25,P
9,47,423,5.222,0.40399999999999997,0.943,1.99,171,399,86,P
5,34,170,6.8,0.141,0.594,1.26,24,101,19,P
8,16,128,2.0,0.344,0.742,1.52,44,95,29,P
10,197,1970,19.7,0.245,0.7509999999999999,1.87,482,1479,258,P
7,105,735,15.0,0.127,0.41,1.39,93,301,67,P
10,15,150,1.5,0.247,0.72,1.61,37,108,23,P
9,151,1359,16.778,0.184,0.5,1.4,250,679,178,P
6,13,78,2.167,0.5379999999999999,0.9229999999999999,2.63,42,72,16,P
10,57,570,5.7,0.40700000000000003,0.7390000000000001,2.94,232,421,79,P
10,51,510,5.1,0.306,0.855,2.29,156,436,68,P
24,186,4464,7.75,0.514,0.988,7.55,2296,4410,304,P
9,138,1242,15.333,0.155,0.7170000000000001,1.34,193,890,144,P
8,6,48,0.75,0.542,0.6459999999999999,13.0,26,31,2,P
8,31,248,3.875,0.327,0.79,1.84,81,196,44,P
10,271,2710,27.1,0.267,0.698,1.96,724,1892,369,P
10,60,600,6.0,0.365,0.7879999999999999,2.35,219,473,93,P
8,44,352,5.5,0.486,0.9520000000000001,2.95,171,335,58,P
25,300,7500,12.0,0.065,0.071,40.33,484,531,12,N
9,38,342,4.2219999999999995,0.313,0.62,2.18,107,212,49,P
25,186,4650,7.44,0.478,0.953,7.16,2221,4433,310,P
7,215,1505,30.714000000000002,0.5379999999999999,0.993,3.2,810,1495,253,P
7,42,294,6.0,0.405,0.976,2.05,119,287,58,P
9,19,171,2.1109999999999998,0.292,0.76,2.63,50,130,19,P
6,17,102,2.833,0.324,1.0,1.32,33,102,25,P
6,40,240,6.667000000000001,0.221,0.621,1.43,53,149,37,P
13,33,429,2.5380000000000003,0.245,0.534,3.89,105,229,27,P
11,91,1001,8.273,0.28600000000000003,0.597,2.33,286,598,123,P
6,44,264,7.332999999999999,0.447,0.8109999999999999,2.11,118,214,56,P
10,10,100,1.0,0.56,0.69,28.0,56,69,2,P
8,141,1128,17.625,0.371,0.977,1.84,418,1102,227,P
8,43,344,5.375,0.39799999999999996,0.9390000000000001,2.4,137,323,57,P
7,128,896,18.285999999999998,0.265,0.72,1.69,237,645,140,P
5,21,105,4.2,0.33299999999999996,0.79,1.46,35,83,24,P
5,29,145,5.8,0.4,0.966,1.61,58,140,36,P
7,51,357,7.2860000000000005,0.207,0.9690000000000001,1.14,74,346,65,P
9,82,738,9.111,0.335,0.73,2.47,247,539,100,P
8,7,56,0.875,0.5,0.7859999999999999,3.11,28,44,9,P
9,52,468,5.778,0.28600000000000003,0.652,1.84,134,305,73,P
7,13,91,1.857,0.40700000000000003,0.978,1.76,37,89,21,P
6,90,540,15.0,0.39399999999999996,0.804,2.2,213,434,97,P
6,20,120,3.333,0.317,0.983,1.52,38,118,25,P
8,62,496,7.75,0.29600000000000004,0.8690000000000001,1.81,147,431,81,P
9,279,2511,31.0,0.09699999999999999,0.33899999999999997,1.34,243,851,181,P
7,7,49,1.0,0.36700000000000005,1.0,1.38,18,49,13,P
9,9,81,1.0,0.272,0.753,1.38,22,61,16,P
8,16,128,2.0,0.23399999999999999,0.922,1.58,30,118,19,P
10,40,400,4.0,0.33299999999999996,0.7829999999999999,1.82,133,313,73,P
8,29,232,3.625,0.401,0.884,2.38,93,205,39,P
10,215,2150,21.5,0.133,0.46399999999999997,1.2,287,997,239,P
17,98,1666,5.765,0.929,1.0,14.88,1548,1666,104,P
8,32,256,4.0,0.402,0.898,1.81,103,230,57,P
8,46,368,5.75,0.318,0.818,2.09,117,301,56,P
7,63,441,9.0,0.33299999999999996,0.971,1.99,147,428,74,P
27,4,108,0.14800000000000002,0.33299999999999996,0.667,2.57,36,72,14,N
7,27,189,3.8569999999999998,0.23800000000000002,0.741,2.81,45,140,16,P
9,64,576,7.111000000000001,0.491,0.9840000000000001,2.57,283,567,110,P
5,7,35,1.4,0.2,0.314,7.0,7,11,1,N
7,80,560,11.429,0.361,0.961,1.63,202,538,124,P
9,21,189,2.333,0.302,0.614,1.9,57,116,30,P
10,19,190,1.9,0.542,0.768,7.36,103,146,14,P
9,175,1575,19.444000000000003,0.19,0.568,1.35,299,894,221,P
10,9,90,0.9,0.35600000000000004,0.9329999999999999,1.6,32,84,20,P
9,536,4824,59.556000000000004,0.18899999999999997,0.813,1.38,913,3924,662,P
7,29,203,4.143,0.365,0.946,2.0,74,192,37,P
5,13,65,2.6,0.431,0.9229999999999999,1.87,28,60,15,P
8,108,864,13.5,0.235,0.618,1.41,203,534,144,P
10,49,490,4.9,0.529,0.9390000000000001,3.01,259,460,86,P
7,49,343,7.0,0.318,0.735,1.54,109,252,71,P
8,9,72,1.125,0.278,0.5,2.86,20,36,7,P
6,4,24,0.667,0.45799999999999996,1.0,2.2,11,24,5,P
10,508,5080,50.8,0.16,0.628,1.41,813,3189,578,P
9,34,306,3.778,0.28800000000000003,0.6409999999999999,2.1,88,196,42,P
9,43,387,4.7780000000000005,0.47,0.948,3.31,182,367,55,P
12,26,312,2.167,0.22399999999999998,0.907,1.63,70,283,43,P
10,34,340,3.4,0.321,0.853,2.02,109,290,54,P
9,343,3087,38.111,0.162,0.677,1.24,499,2091,401,P
14,421,5894,30.070999999999998,0.379,0.581,4.8,2236,3424,466,P
2,11,22,5.5,0.409,0.955,9.0,9,21,1,P
6,49,294,8.167,0.24100000000000002,0.633,1.42,71,186,50,P
10,16,160,1.6,0.33799999999999997,0.888,2.08,54,142,26,P
8,13,104,1.625,0.39399999999999996,0.9129999999999999,2.28,41,95,18,P
2,475,950,237.5,0.504,0.544,95.8,479,517,5,N
8,302,2416,37.75,0.21100000000000002,0.73,1.43,510,1763,356,P
11,8,88,0.727,0.602,1.0,4.08,53,88,13,P
5,7,35,1.4,0.429,0.8859999999999999,2.5,15,31,6,P
12,4,48,0.33299999999999996,0.292,1.0,2.0,14,48,7,N
24,120,2880,5.0,0.927,0.972,21.36,2670,2800,125,P
6,41,246,6.832999999999999,0.22399999999999998,0.85,1.2,55,209,46,P
7,35,245,5.0,0.34700000000000003,0.7709999999999999,1.52,85,189,56,P
7,125,875,17.857,0.27,0.858,1.4,236,751,168,P
5,29,145,5.8,0.5379999999999999,0.89,2.36,78,129,33,P
9,128,1152,14.222000000000001,0.21899999999999997,0.745,1.44,252,858,175,P
10,53,530,5.3,0.34299999999999997,0.8109999999999999,2.0,182,430,91,P
13,1,13,0.077,1.0,1.0,13.0,13,13,1,N
1,85,85,85.0,0.882,1.0,12.5,75,85,6,N
8,43,344,5.375,0.326,0.75,1.81,112,258,62,P
6,15,90,2.5,0.244,0.733,2.2,22,66,10,P
7,11,77,1.571,0.41600000000000004,0.9740000000000001,1.52,32,75,21,P
12,335,4020,27.916999999999998,0.4,0.677,4.61,1606,2722,348,P
6,33,198,5.5,0.52,0.995,2.24,103,197,46,P
10,17,170,1.7,0.382,1.0,2.41,65,170,27,P
21,4,84,0.19,0.31,0.643,3.71,26,54,7,N
9,7,63,0.778,0.28600000000000003,0.778,2.0,18,49,9,P
10,11,110,1.1,0.409,0.955,2.5,45,105,18,P
9,59,531,6.556,0.237,0.802,1.56,126,426,81,P
8,52,416,6.5,0.38,0.88,1.88,158,366,84,P
1,45,45,45.0,0.35600000000000004,1.0,1.07,16,45,15,P
12,498,5976,41.5,0.307,0.639,2.44,1833,3818,752,P
13,188,2444,14.462,0.188,0.71,1.67,460,1736,275,P
14,339,4746,24.214000000000002,0.248,0.547,2.44,1175,2596,481,P
8,139,1112,17.375,0.16,0.6920000000000001,2.17,178,769,82,P
9,102,918,11.333,0.35700000000000004,0.867,2.43,328,796,135,P
24,510,12240,21.25,0.846,0.927,38.65,10359,11341,268,N
9,202,1818,22.444000000000003,0.087,0.254,1.3,158,462,122,P
9,14,126,1.556,0.278,1.0,2.06,35,126,17,P
14,186,2604,13.286,0.307,0.652,2.5,799,1698,319,P
8,8,64,1.0,0.5,1.0,2.91,32,64,11,P
1,193,193,193.0,0.57,1.0,2.97,110,193,37,N
7,62,434,8.857000000000001,0.392,0.871,1.87,170,378,91,P
2,22,44,11.0,0.47700000000000004,1.0,21.0,21,44,1,N
10,35,350,3.5,0.091,0.157,2.67,32,55,12,P
