loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
28.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
23.0,16.0,12.0,6.0,184.0,985.79,0.02,44.0,22.4,43374.74,0.33,2409.71,17,0,4,0,22,19,108,76,31,False
23.0,5.0,1.0,1.0,119.0,538.3,0.06,16.0,33.64,8612.86,0.18,478.49,19,1,1,0,8,15,59,60,9,False
29.0,4.0,1.0,4.0,105.0,542.84,0.07,15.0,36.19,8142.63,0.18,452.37,25,0,2,0,15,21,63,42,7,True
23.0,3.0,1.0,3.0,98.0,480.88,0.11,9.43,51.0,4533.97,0.16,251.89,20,0,1,0,9,21,54,44,5,False
9.0,4.0,1.0,2.0,16.0,59.21,0.21,4.8,12.33,284.19,0.02,15.79,6,0,1,0,8,5,10,6,7,False
4.0,1.0,1.0,1.0,9.0,28.53,0.29,3.5,8.15,99.85,0.01,5.55,2,0,0,0,7,2,7,2,1,False
300.0,8.0,1.0,8.0,822.0,5885.41,0.03,28.91,203.58,170141.98,1.96,9452.33,170,82,43,0,22,121,504,318,15,False
14.0,1.0,1.0,1.0,40.0,169.92,0.14,6.91,24.59,1173.97,0.06,65.22,10,0,4,0,8,11,21,19,1,False
123.0,4.0,1.0,4.0,509.0,3359.36,0.04,25.7,130.72,86326.6,1.12,4795.92,71,23,21,0,21,76,323,186,7,False
12.0,2.0,1.0,2.0,23.0,82.45,0.28,3.57,23.09,294.48,0.03,16.36,8,1,1,0,5,7,13,10,3,False
60.0,6.0,1.0,6.0,159.0,897.37,0.06,17.16,52.31,15395.56,0.3,855.31,43,0,9,6,18,32,98,61,10,False
5.0,1.0,1.0,1.0,31.0,107.24,0.17,5.83,18.38,625.58,0.04,34.75,3,0,0,0,5,6,17,14,1,False
67.0,18.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,35,False
125.0,23.0,10.0,16.0,312.0,1994.4,0.05,21.17,94.22,42214.86,0.66,2345.27,100,10,12,1,21,63,185,127,45,True
43.0,5.0,1.0,3.0,172.0,998.87,0.06,16.2,61.66,16181.61,0.33,898.98,36,0,7,0,16,40,91,81,9,False
14.0,3.0,3.0,1.0,25.0,102.19,0.11,9.17,11.15,936.71,0.03,52.04,10,0,2,0,11,6,15,10,5,False
5.0,1.0,1.0,1.0,7.0,18.09,0.5,2.0,9.05,36.19,0.01,2.0,3,0,0,0,4,2,5,2,1,False
17.0,3.0,1.0,1.0,36.0,150.12,0.12,8.13,18.48,1219.7,0.05,67.76,14,0,3,0,10,8,23,13,5,False
44.0,8.0,5.0,4.0,101.0,485.54,0.03,30.91,15.71,15007.69,0.16,833.76,34,3,4,1,17,11,61,40,15,False
20.0,5.0,4.0,4.0,41.0,174.17,0.14,6.91,25.21,1203.32,0.06,66.85,15,0,3,0,8,11,22,19,9,True
29.0,4.0,1.0,4.0,93.0,469.13,0.07,14.37,32.65,6740.64,0.16,374.48,25,1,1,0,14,19,54,39,7,False
118.0,6.0,1.0,6.0,136.0,775.26,0.04,25.71,30.15,19935.25,0.26,1107.51,35,21,46,13,24,28,76,60,9,False
51.0,5.0,1.0,4.0,106.0,552.2,0.06,16.0,34.51,8835.23,0.18,490.85,33,5,7,0,16,21,64,42,9,False
71.0,13.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,25,False
4.0,1.0,1.0,1.0,6.0,15.51,0.4,2.5,6.2,38.77,0.01,2.15,2,0,0,0,5,1,5,1,1,False
32.0,3.0,1.0,3.0,77.0,366.13,0.05,19.38,18.9,7093.7,0.12,394.09,24,2,3,1,15,12,46,31,5,False
45.0,3.0,1.0,3.0,122.0,551.87,0.04,26.18,21.08,14449.08,0.18,802.73,31,4,3,0,12,11,74,48,5,False
60.0,19.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,37,True
5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
21.0,2.0,1.0,1.0,59.0,263.11,0.18,5.44,48.39,1430.64,0.09,79.48,13,1,5,0,6,16,30,29,3,False
7.0,1.0,1.0,1.0,17.0,58.81,0.44,2.29,25.73,134.42,0.02,7.47,5,0,0,0,4,7,9,8,1,False
37.0,10.0,9.0,3.0,128.0,690.22,0.05,20.65,33.42,14254.47,0.23,791.92,24,5,5,0,19,23,78,50,19,False
10.0,2.0,1.0,2.0,26.0,101.58,0.18,5.69,17.86,577.73,0.03,32.1,6,0,2,0,7,8,13,13,3,False
4.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,0,0,4,4,5,4,1,False
7.0,1.0,1.0,1.0,25.0,89.62,0.22,4.5,19.92,403.31,0.03,22.41,5,0,0,0,6,6,16,9,1,False
10.0,4.0,4.0,1.0,35.0,158.32,0.1,9.75,16.23,1543.67,0.05,85.76,6,1,1,0,13,10,20,15,7,False
23.0,3.0,1.0,3.0,56.0,256.76,0.12,8.46,30.34,2172.57,0.09,120.7,17,0,4,0,11,13,36,20,5,True
54.0,5.0,1.0,4.0,116.0,574.69,0.03,33.23,17.29,19097.28,0.19,1060.96,33,5,14,0,18,13,68,48,9,True
24.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,True
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3,1,3,1,1,False
19.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,True
11.0,2.0,1.0,2.0,23.0,85.11,0.26,3.86,22.07,328.28,0.03,18.24,8,0,1,0,6,7,14,9,3,False
49.0,15.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,29,False
10.0,2.0,1.0,1.0,21.0,82.04,0.27,3.67,22.38,300.83,0.03,16.71,5,0,3,0,6,9,10,11,3,False
4.0,1.0,1.0,1.0,11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,2,0,0,0,6,4,7,4,1,False
5.0,1.0,1.0,1.0,11.0,36.54,0.29,3.5,10.44,127.89,0.01,7.11,3,0,0,0,7,3,8,3,1,False
33.0,4.0,1.0,1.0,58.0,269.34,0.08,12.09,22.28,3256.61,0.09,180.92,29,0,2,0,14,11,39,19,7,False
53.0,11.0,9.0,9.0,170.0,969.07,0.06,17.0,57.0,16474.27,0.32,915.24,46,0,4,0,17,35,100,70,21,False
28.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,False
24.0,2.0,1.0,2.0,46.0,202.05,0.12,8.25,24.49,1666.88,0.07,92.6,13,0,8,0,11,10,31,15,3,True
26.0,7.0,6.0,4.0,47.0,209.59,0.13,7.92,26.47,1659.28,0.07,92.18,21,0,3,0,10,12,28,19,13,False
57.0,9.0,1.0,9.0,112.0,596.06,0.14,6.97,85.55,4153.16,0.2,230.73,44,9,2,0,9,31,64,48,17,False
19.0,1.0,1.0,1.0,54.0,240.81,0.15,6.67,36.12,1605.4,0.08,89.19,10,1,5,0,10,12,38,16,1,False
8.0,1.0,1.0,1.0,26.0,101.58,0.42,2.36,42.98,240.1,0.03,13.34,6,0,0,0,4,11,13,13,1,False
19.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,False
105.0,30.0,19.0,13.0,325.0,2060.44,0.04,25.73,80.08,53012.97,0.69,2945.16,84,5,11,3,22,59,187,138,59,True
67.0,11.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,21,True
57.0,10.0,3.0,7.0,259.0,1497.37,0.03,36.75,40.74,55028.43,0.5,3057.13,52,0,3,0,21,34,140,119,19,False
39.0,8.0,1.0,4.0,107.0,587.63,0.08,12.69,46.31,7456.8,0.2,414.27,32,2,3,0,16,29,61,46,14,False
42.0,4.0,1.0,3.0,77.0,370.17,0.08,13.0,28.47,4812.16,0.12,267.34,25,9,6,0,13,15,47,30,7,False
76.0,9.0,1.0,9.0,258.0,1448.6,0.05,19.78,73.22,28658.69,0.48,1592.15,50,6,17,0,12,37,136,122,17,False
19.0,3.0,1.0,3.0,125.0,625.0,0.07,14.32,43.65,8948.86,0.21,497.16,13,0,3,0,10,22,62,63,5,False
85.0,41.0,36.0,3.0,425.0,2489.64,0.02,48.58,51.24,120955.1,0.83,6719.73,73,2,6,0,22,36,266,159,81,False
16.0,1.0,1.0,1.0,51.0,220.42,0.12,8.5,25.93,1873.56,0.07,104.09,9,0,4,0,10,10,34,17,1,False
79.0,11.0,1.0,1.0,125.0,655.99,0.04,24.09,27.23,15801.66,0.22,877.87,62,0,14,0,21,17,86,39,12,False
10.0,2.0,1.0,2.0,19.0,72.34,0.12,8.1,8.93,585.95,0.02,32.54,7,0,1,0,9,5,10,9,3,False
62.0,5.0,1.0,4.0,108.0,540.0,0.04,25.5,21.18,13770.0,0.18,765.0,22,17,15,0,17,15,63,45,9,False
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3,1,3,1,1,False
28.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,True
35.0,6.0,1.0,3.0,114.0,559.39,0.03,30.0,18.65,16781.57,0.19,932.31,25,0,5,0,18,12,74,40,11,False
212.0,40.0,20.0,5.0,589.0,3389.63,0.01,112.07,30.25,379872.19,1.13,21104.01,136,58,16,0,25,29,329,260,79,False
13.0,3.0,1.0,2.0,33.0,134.89,0.06,15.6,8.65,2104.23,0.04,116.9,10,0,1,0,12,5,20,13,5,False
7.0,2.0,1.0,2.0,10.0,30.0,0.3,3.33,9.0,100.0,0.01,5.56,5,0,0,0,5,3,6,4,3,False
65.0,12.0,8.0,5.0,152.0,824.79,0.04,23.04,35.8,19003.21,0.27,1055.73,48,7,8,0,18,25,88,64,23,False
22.0,4.0,1.0,1.0,51.0,212.67,0.09,11.5,18.49,2445.66,0.07,135.87,19,0,1,0,9,9,28,23,7,False
128.0,33.0,33.0,21.0,686.0,4272.97,0.02,51.53,82.92,220183.61,1.42,12232.42,112,6,8,0,24,51,467,219,65,False
112.0,54.0,51.0,53.0,632.0,3972.37,0.02,40.25,98.68,159904.89,1.32,8883.61,106,1,3,0,19,59,382,250,107,False
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4,3,4,3,1,True
15.0,2.0,1.0,1.0,22.0,85.95,0.22,4.5,19.1,386.78,0.03,21.49,10,0,2,0,9,6,16,6,3,False
100.0,1.0,1.0,1.0,593.0,3922.52,0.06,16.56,236.82,64969.6,1.31,3609.42,94,0,4,0,11,87,331,262,1,False
363.0,8.0,1.0,7.0,821.0,5853.14,0.05,20.89,280.2,122265.62,1.95,6792.53,303,0,58,0,14,126,445,376,15,False
6.0,1.0,1.0,1.0,13.0,41.21,0.67,1.5,27.47,61.81,0.01,3.43,4,0,0,0,3,6,7,6,1,False
23.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,False
6.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,1,0,3,1,3,1,1,True
40.0,3.0,1.0,2.0,89.0,482.94,0.08,11.77,41.03,5683.8,0.16,315.77,32,0,4,0,17,26,53,36,4,True
5.0,1.0,1.0,1.0,8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,3,0,0,0,4,3,5,3,1,False
231.0,37.0,24.0,25.0,808.0,5402.69,0.02,58.8,91.89,317656.99,1.8,17647.61,183,38,8,0,27,76,477,331,73,False
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3,1,3,1,1,False
7.0,1.0,1.0,1.0,21.0,79.95,0.3,3.38,23.69,269.85,0.03,14.99,5,0,0,0,6,8,12,9,1,False
17.0,21.0,21.0,7.0,202.0,1000.75,0.01,69.09,14.48,69142.57,0.33,3841.25,16,0,1,0,20,11,126,76,41,False
80.0,8.0,1.0,1.0,133.0,702.96,0.02,46.0,15.28,32336.09,0.23,1796.45,34,31,13,0,26,13,87,46,13,False
53.0,10.0,10.0,6.0,122.0,580.1,0.03,38.25,15.17,22188.68,0.19,1232.7,40,3,4,0,17,10,77,45,19,False
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4,3,4,3,1,False
12.0,1.0,1.0,1.0,24.0,96.0,0.2,5.0,19.2,480.0,0.03,26.67,8,0,2,0,8,8,14,10,1,False
5.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3,1,3,1,1,False
7.0,1.0,1.0,1.0,14.0,48.43,0.28,3.6,13.45,174.36,0.02,9.69,4,0,1,0,6,5,8,6,1,False
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3,1,3,1,1,False
23.0,2.0,1.0,2.0,43.0,185.84,0.32,3.17,58.69,588.5,0.06,32.68,16,0,5,0,5,15,24,19,3,False
85.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,False
159.0,4.0,1.0,4.0,799.0,5508.96,0.03,31.63,174.15,174268.57,1.84,9681.59,117,3,37,0,18,101,444,355,7,False
18.0,2.0,1.0,2.0,54.0,256.76,0.12,8.25,31.12,2118.3,0.09,117.68,14,0,2,0,11,16,30,24,3,False
11.0,1.0,1.0,1.0,45.0,197.65,0.11,8.8,22.46,1739.36,0.07,96.63,6,0,3,0,11,10,29,16,1,False
49.0,3.0,1.0,3.0,232.0,1274.11,0.03,29.75,42.83,37904.77,0.42,2105.82,35,0,11,1,17,28,134,98,5,False
65.0,8.0,4.0,6.0,224.0,1207.88,0.03,30.38,39.77,36689.33,0.4,2038.3,49,3,11,0,18,24,143,81,15,False
139.0,12.0,1.0,6.0,485.0,2853.08,0.02,47.5,60.06,135521.39,0.95,7528.97,97,29,8,3,19,40,285,200,23,True
53.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,21,False
26.0,3.0,1.0,3.0,103.0,505.41,0.04,23.43,21.57,11841.03,0.17,657.83,18,3,3,0,16,14,62,41,5,False
4.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,0,0,4,4,5,4,1,False
16.0,2.0,1.0,2.0,52.0,241.48,0.13,7.86,30.73,1897.35,0.08,105.41,11,0,2,0,11,14,32,20,3,False
5.0,1.0,1.0,1.0,18.0,68.53,0.29,3.5,19.58,239.86,0.02,13.33,3,0,0,0,7,7,11,7,1,False
190.0,39.0,3.0,35.0,695.0,4757.62,0.03,30.71,154.91,146112.75,1.59,8117.38,155,0,33,0,18,97,364,331,77,True
45.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,False
21.0,7.0,7.0,3.0,86.0,404.24,0.07,13.93,29.01,5632.38,0.13,312.91,18,0,1,0,11,15,48,38,13,True
28.0,3.0,1.0,3.0,107.0,544.36,0.07,13.36,40.73,7274.61,0.18,404.14,20,0,6,0,12,22,58,49,5,False
5.0,1.0,1.0,1.0,15.0,47.55,0.27,3.75,12.68,178.31,0.02,9.91,3,0,0,0,5,4,9,6,1,False
17.0,3.0,1.0,1.0,30.0,120.0,0.09,10.83,11.08,1300.0,0.04,72.22,12,0,3,0,10,6,17,13,5,True
46.0,13.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,14,False
32.0,1.0,1.0,1.0,108.0,549.45,0.09,11.0,49.95,6043.91,0.18,335.77,19,1,9,0,11,23,62,46,1,False
36.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,False
22.0,2.0,1.0,2.0,60.0,271.41,0.07,14.3,18.98,3881.22,0.09,215.62,15,0,5,0,13,10,38,22,3,False
5.0,3.0,3.0,1.0,16.0,57.36,0.17,6.0,9.56,344.16,0.02,19.12,3,0,0,0,8,4,10,6,5,False
16.0,3.0,1.0,2.0,31.0,140.23,0.07,13.71,10.23,1923.16,0.05,106.84,9,2,1,0,16,7,19,12,5,False
35.0,1.0,1.0,1.0,60.0,234.41,0.08,13.14,17.84,3080.86,0.08,171.16,23,0,10,0,8,7,37,23,1,False
18.0,1.0,1.0,1.0,42.0,189.99,0.24,4.16,45.71,789.64,0.06,43.87,15,0,1,0,7,16,23,19,1,False
50.0,9.0,9.0,4.0,84.0,420.0,0.05,19.73,21.29,8286.92,0.14,460.38,39,0,9,0,19,13,57,27,15,False
11.0,1.0,1.0,1.0,28.0,109.39,0.25,4.0,27.35,437.57,0.04,24.31,8,0,1,0,6,9,16,12,1,False
26.0,2.0,1.0,1.0,79.0,387.64,0.1,10.42,37.2,4039.66,0.13,224.43,20,0,4,0,11,19,43,36,3,True
85.0,24.0,23.0,20.0,261.0,1473.05,0.03,30.65,48.07,45141.75,0.49,2507.87,59,18,6,0,19,31,161,100,47,True
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3,2,3,2,1,False
105.0,21.0,6.0,13.0,312.0,1795.52,0.02,49.34,36.39,88588.88,0.6,4921.6,77,7,14,4,23,31,179,133,41,False
126.0,10.0,6.0,5.0,263.0,1390.06,0.02,58.95,23.58,81940.43,0.46,4552.25,67,21,30,1,20,19,151,112,19,True
89.0,4.0,4.0,3.0,184.0,992.19,0.03,33.87,29.29,33604.92,0.33,1866.94,50,13,19,0,19,23,102,82,7,False
24.0,2.0,1.0,2.0,50.0,222.97,0.09,10.8,20.65,2408.09,0.07,133.78,16,1,5,0,12,10,32,18,3,False
57.0,6.0,1.0,6.0,168.0,840.0,0.03,33.97,24.73,28535.29,0.28,1585.29,51,1,2,1,15,17,91,77,9,False
63.0,5.0,1.0,5.0,186.0,1002.97,0.05,20.92,47.94,20985.24,0.33,1165.85,48,3,9,0,16,26,118,68,9,True
17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
15.0,2.0,1.0,1.0,57.0,264.7,0.09,10.61,24.95,2807.71,0.09,155.98,12,0,3,0,11,14,30,27,3,False
7.0,1.0,1.0,1.0,16.0,50.72,0.2,5.0,10.14,253.59,0.02,14.09,3,1,1,0,6,3,11,5,1,False
55.0,8.0,1.0,7.0,137.0,718.97,0.04,22.26,32.29,16005.55,0.24,889.2,31,4,11,6,17,21,82,55,15,False
25.0,5.0,4.0,5.0,83.0,415.0,0.07,15.0,27.67,6225.0,0.14,345.83,18,0,5,0,15,17,49,34,9,True
13.0,1.0,1.0,1.0,29.0,107.31,0.32,3.11,34.49,333.86,0.04,18.55,6,3,2,0,4,9,15,14,1,False
18.0,4.0,1.0,3.0,41.0,177.2,0.08,12.22,14.5,2165.77,0.06,120.32,14,0,2,0,11,9,21,20,7,False
14.0,1.0,1.0,1.0,56.0,177.52,0.06,16.0,11.09,2840.25,0.06,157.79,9,0,3,0,6,3,40,16,1,False
4.0,1.0,1.0,1.0,7.0,19.65,0.33,3.0,6.55,58.95,0.01,3.28,2,0,0,0,6,1,6,1,1,False
18.0,2.0,1.0,2.0,47.0,212.61,0.12,8.25,25.77,1754.01,0.07,97.45,12,0,4,0,11,12,29,18,3,False
20.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,False
73.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,19,True
5.0,2.0,1.0,1.0,15.0,55.51,0.15,6.75,8.22,374.67,0.02,20.81,3,0,0,0,9,4,9,6,3,False
41.0,3.0,1.0,3.0,99.0,499.4,0.1,10.0,49.94,4993.95,0.17,277.44,26,6,7,0,10,23,53,46,5,True
23.0,3.0,3.0,1.0,34.0,132.83,0.08,12.0,11.07,1594.01,0.04,88.56,17,1,2,0,10,5,22,12,5,False
46.0,9.0,1.0,3.0,132.0,707.2,0.03,32.47,21.78,22963.1,0.24,1275.73,32,3,9,0,24,17,86,46,17,False
4.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,0,0,4,4,5,4,1,False
58.0,7.0,4.0,7.0,162.0,914.3,0.07,14.0,65.31,12800.27,0.3,711.13,31,6,18,0,14,36,90,72,13,False
25.0,6.0,4.0,3.0,89.0,467.07,0.05,19.94,23.43,9312.12,0.16,517.34,20,0,3,0,22,16,60,29,11,False
68.0,11.0,9.0,7.0,289.0,1678.33,0.03,34.2,49.07,57398.73,0.56,3188.82,59,0,7,0,21,35,175,114,21,True
33.0,4.0,1.0,3.0,98.0,485.51,0.09,10.71,45.31,5201.91,0.16,288.99,29,0,2,0,10,21,53,45,7,True
63.0,24.0,20.0,5.0,155.0,807.47,0.03,32.94,24.51,26598.86,0.27,1477.71,57,2,2,0,20,17,99,56,47,True
5.0,1.0,1.0,1.0,13.0,44.97,0.33,3.0,14.99,134.92,0.01,7.5,3,0,0,0,6,5,8,5,1,False
51.0,2.0,1.0,1.0,164.0,872.8,0.05,19.5,44.76,17019.53,0.29,945.53,29,9,10,0,15,25,99,65,3,False
11.0,1.0,1.0,1.0,30.0,122.62,0.34,2.92,42.04,357.65,0.04,19.87,5,2,1,0,5,12,16,14,1,False
37.0,10.0,9.0,3.0,122.0,625.77,0.05,21.47,29.14,13437.64,0.21,746.54,24,12,1,0,16,19,71,51,19,True
4.0,1.0,1.0,1.0,8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,2,0,0,0,4,3,5,3,1,True
52.0,1.0,1.0,1.0,147.0,706.68,0.06,16.18,43.69,11431.61,0.24,635.09,32,11,4,0,11,17,97,50,1,False
59.0,8.0,6.0,8.0,233.0,1381.86,0.04,23.9,57.81,33029.87,0.46,1834.99,42,8,7,0,20,41,135,98,15,False
5.0,1.0,1.0,1.0,12.0,41.51,0.33,3.0,13.84,124.54,0.01,6.92,3,0,0,0,6,5,7,5,1,False
32.0,2.0,1.0,2.0,64.0,300.83,0.08,12.83,23.44,3860.63,0.1,214.48,19,4,5,0,14,12,42,22,3,False
7.0,1.0,1.0,1.0,29.0,74.96,0.13,8.0,9.37,599.71,0.02,33.32,5,0,0,0,4,2,21,8,1,False
79.0,4.0,1.0,3.0,335.0,1731.92,0.02,53.65,32.28,92912.68,0.58,5161.82,53,5,19,0,19,17,239,96,7,False
7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
38.0,5.0,1.0,3.0,152.0,803.38,0.04,22.41,35.85,18003.04,0.27,1000.17,29,0,7,0,17,22,94,58,9,False
173.0,12.0,1.0,9.0,477.0,3006.9,0.02,48.57,61.91,146033.38,1.0,8112.97,109,16,40,6,26,53,279,198,22,False
24.0,3.0,1.0,3.0,70.0,346.79,0.11,9.16,37.87,3175.9,0.12,176.44,18,0,4,0,12,19,41,29,5,False
101.0,6.0,1.0,5.0,394.0,2372.81,0.03,30.64,77.45,72698.95,0.79,4038.83,74,0,24,0,18,47,234,160,11,False
40.0,3.0,1.0,3.0,68.0,340.0,0.09,10.89,31.22,3702.22,0.11,205.68,22,6,9,1,14,18,40,28,5,False
34.0,14.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,27,False
28.0,3.0,1.0,2.0,68.0,303.24,0.08,13.0,23.33,3942.14,0.1,219.01,23,0,3,0,11,11,42,26,5,False
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4,3,4,3,1,False
22.0,4.0,1.0,3.0,49.0,191.44,0.08,12.57,15.23,2406.64,0.06,133.7,15,0,4,0,8,7,27,22,7,False
48.0,7.0,3.0,5.0,106.0,539.27,0.06,16.0,33.7,8628.34,0.18,479.35,35,6,5,0,16,18,70,36,13,True
7.0,1.0,1.0,1.0,17.0,60.94,0.5,2.0,30.47,121.89,0.02,6.77,3,0,2,0,4,8,9,8,1,False
6.0,1.0,1.0,1.0,11.0,34.87,0.4,2.5,13.95,87.17,0.01,4.84,3,0,1,0,5,4,7,4,1,False
25.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
120.0,16.0,4.0,10.0,348.0,2218.51,0.02,47.69,46.52,105792.65,0.74,5877.37,89,4,17,5,32,51,196,152,25,True
60.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,13,False
70.0,9.0,4.0,7.0,227.0,1281.16,0.03,30.64,41.81,39258.26,0.43,2181.01,39,16,13,0,22,28,149,78,17,True
104.0,13.0,10.0,13.0,265.0,1640.3,0.04,27.14,60.44,44517.84,0.55,2473.21,74,25,3,0,23,50,147,118,25,True
74.0,7.0,1.0,7.0,172.0,970.74,0.05,21.94,44.25,21295.68,0.32,1183.09,53,6,6,3,18,32,94,78,13,True
5.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,3,0,0,0,5,6,8,7,1,False
31.0,2.0,1.0,2.0,84.0,399.41,0.11,9.0,44.38,3594.69,0.13,199.71,19,4,6,0,9,18,48,36,3,True
28.0,9.0,1.0,1.0,113.0,588.67,0.08,12.48,47.17,7346.58,0.2,408.14,23,0,3,0,12,25,61,52,17,False
65.0,5.0,3.0,4.0,263.0,1476.67,0.03,30.02,49.2,44323.13,0.49,2462.4,37,18,7,0,17,32,150,113,9,False
29.0,5.0,1.0,5.0,141.0,684.98,0.03,32.58,21.02,22318.78,0.23,1239.93,23,0,4,0,17,12,95,46,9,False
22.0,2.0,1.0,2.0,61.0,249.34,0.07,13.5,18.47,3366.03,0.08,187.0,14,0,4,0,9,8,37,24,3,False
18.0,5.0,1.0,1.0,57.0,242.13,0.05,19.71,12.28,4773.46,0.08,265.19,12,2,2,0,12,7,34,23,9,False
6.0,1.0,1.0,1.0,8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,3,0,1,0,4,3,5,3,1,False
42.0,4.0,1.0,4.0,99.0,567.06,0.06,16.87,33.62,9564.48,0.19,531.36,32,0,5,0,24,31,56,45,5,False
11.0,2.0,1.0,2.0,27.0,105.49,0.23,4.38,24.11,461.5,0.04,25.64,9,0,0,0,7,8,17,10,3,False
34.0,4.0,1.0,4.0,84.0,427.35,0.08,12.24,34.92,5229.38,0.14,290.52,22,1,8,0,15,19,53,31,7,False
22.0,6.0,6.0,1.0,53.0,243.0,0.06,15.83,15.35,3847.55,0.08,213.75,17,1,1,0,15,9,34,19,11,False
11.0,1.0,1.0,1.0,58.0,258.64,0.17,5.83,44.34,1508.77,0.09,83.82,8,0,1,0,7,15,33,25,1,False
